date,open,high,low,close,volume,trade_volume
20170911,4885,4885,4793,4810,73892,357
20170908,4927,4927,4793,4835,42749,206
20170907,4960,4960,4818,4851,76443,371
20170906,4810,4893,4768,4851,95449,459
20170905,4943,4960,4793,4851,70210,340
20170904,4876,4977,4860,4901,108719,533
20170901,5002,5043,4993,5035,172216,864
20170831,4927,5027,4927,5002,92257,459
20170830,4977,5027,4910,4960,82850,411
20170829,4968,4993,4893,4927,60473,298
20170828,4868,5043,4868,4993,180305,895
20170825,4876,4893,4843,4885,64479,314
20170824,4843,4860,4785,4835,88731,428
20170823,4776,4835,4768,4810,115180,554
20170822,4785,4835,4751,4810,86407,415
20170821,4776,4810,4709,4785,114180,545
20170818,4559,4760,4551,4743,154623,726
20170817,4484,4601,4467,4576,62090,282
20170816,4476,4584,4459,4484,104078,468
20170814,4434,4542,4417,4476,86204,384
20170811,4567,4567,4392,4434,217898,974
20170810,4709,4734,4609,4609,62102,290
20170809,4768,4793,4668,4676,71275,337
20170808,4768,4776,4718,4776,54120,257
20170807,4659,4776,4626,4743,69521,329
20170804,4693,4760,4643,4684,25515,119
20170803,4676,4743,4643,4693,58731,275
20170802,4601,4751,4567,4709,61665,288
20170801,4542,4601,4517,4601,50677,231
20170731,4651,4651,4517,4534,125060,567
20170728,4684,4709,4576,4601,132192,610
20170727,4709,4726,4609,4651,64617,301
20170726,4743,4760,4651,4693,55174,259
20170725,4785,4785,4676,4718,84958,399
20170724,4801,4801,4709,4768,56473,269
20170721,4793,4810,4751,4785,51629,246
20170720,4760,4810,4734,4785,45371,216
20170719,4826,4826,4743,4776,43802,208
20170718,4751,4793,4701,4793,69251,328
20170717,4734,4826,4734,4760,55754,266
20170714,4893,4893,4709,4785,99407,473
20170713,4960,4960,4826,4868,64647,314
20170712,4901,5110,4843,4960,339407,1693
20170711,4893,4960,4785,4860,49012,238
20170710,5002,5002,4860,4876,49964,245
20170707,4860,5035,4851,4993,114916,568
20170706,4801,4910,4801,4893,55275,269
20170705,4726,4835,4709,4801,77737,372
20170704,4810,4893,4693,4726,135641,648
20170703,4935,4960,4776,4776,183575,887
20170630,4968,4968,4910,4927,60024,296
20170629,4893,5010,4860,4977,126066,622
20170628,4977,5002,4885,4885,158437,782
20170627,5027,5085,4977,4993,180030,904
20170626,5194,5194,5010,5027,170437,865
20170623,5185,5269,5110,5169,129838,673
20170622,5327,5428,5135,5169,175246,922
20170621,5327,5469,5277,5294,140683,750
20170620,5569,5578,5344,5411,159874,871
20170619,5411,5611,5319,5494,585862,3207
20170616,5185,5311,5119,5261,244240,1279
20170615,5269,5269,5094,5177,164066,844
20170614,5169,5311,5144,5227,384880,2016
20170613,5018,5160,5018,5160,205162,1048
20170612,5077,5135,5027,5043,117299,594
20170609,5119,5119,4960,5077,144593,728
20170608,5002,5068,4927,5043,161228,807
20170607,5152,5152,4977,5027,130389,655
20170605,5010,5135,4985,5127,193335,983
20170602,5077,5110,4960,5010,237575,1198
20170601,5060,5144,5010,5010,253305,1284
20170531,4810,5152,4785,5027,626611,3144
20170530,4701,4760,4668,4743,87156,411
20170529,4709,4751,4651,4668,90335,422
20170526,4734,4751,4651,4751,89677,421
20170525,4760,4776,4709,4734,129533,614
20170524,4601,4751,4576,4734,212323,995
20170523,4601,4618,4509,4609,91323,416
20170522,4542,4609,4526,4567,83635,380
20170519,4584,4593,4509,4584,78234,355
20170518,4567,4609,4509,4526,87527,398
20170517,4609,4668,4576,4609,77808,358
20170516,4676,4726,4593,4609,62563,289
20170515,4701,4760,4542,4668,92994,432
20170512,4860,4893,4693,4701,192491,923
20170511,4818,4851,4751,4776,84832,406
20170510,4726,4843,4726,4785,73090,351
20170508,4668,4818,4659,4785,163515,780
20170504,4651,4709,4576,4668,67138,312
20170502,4626,4626,4542,4618,43491,199
20170428,4651,4668,4593,4609,75198,348
20170427,4609,4676,4609,4659,41868,194
20170426,4684,4726,4609,4659,78874,366
20170425,4676,4726,4618,4659,80808,375
20170424,4793,4810,4634,4634,97395,458
20170421,4793,4826,4743,4785,83335,398
20170420,4776,4826,4701,4743,72665,346
20170419,4785,4826,4726,4751,79916,381
20170418,4776,4793,4626,4743,93000,436
20170417,4618,4743,4618,4726,89659,421
20170414,4584,4659,4526,4593,111054,510
20170413,4651,4684,4517,4584,102635,469
20170412,4701,4701,4534,4593,93084,426
20170411,4709,4760,4593,4651,134952,628
20170410,4935,4935,4659,4659,171299,808
20170407,4943,4943,4810,4893,76749,373
20170406,4935,4935,4835,4876,85671,417
20170405,4943,4993,4810,4960,149293,727
20170404,5060,5060,4901,4952,102383,511
20170403,4960,5010,4885,5010,135228,671
20170331,4885,4910,4810,4901,69407,337
20170330,4985,5002,4801,4843,128593,625
20170329,5018,5210,4860,4985,357150,1786
20170328,4943,4993,4801,4977,129545,634
20170327,4901,4977,4843,4893,142725,704
20170324,4709,4910,4684,4843,198443,954
20170323,4701,4760,4618,4634,73102,344
20170322,4576,4718,4492,4701,80940,372
20170321,4534,4584,4451,4576,115599,523
20170320,4609,4609,4534,4542,31479,143
20170317,4593,4626,4551,4559,60036,275
20170316,4668,4676,4559,4626,55437,256
20170315,4618,4676,4559,4626,55293,254
20170314,4576,4709,4576,4659,57928,268
20170313,4743,4743,4609,4651,47090,219
20170310,4659,4659,4601,4634,45054,209
20170309,4626,4676,4584,4659,66084,305
20170308,4734,4734,4593,4626,76371,353
20170307,4709,4743,4626,4676,66383,308
20170306,4643,4709,4593,4709,55964,260
20170303,4760,4793,4659,4726,47222,222
20170302,4885,4901,4760,4776,66934,322
20170228,4801,4843,4760,4810,45964,221
20170227,4952,4952,4776,4785,88814,429
20170224,4927,4960,4843,4910,78659,385
